[ ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , R,  , R,  ,  ,  ,  , R,  , Y,  ,  , Y,  , Y, Y, Y,  ,  , R,  , R, R, Y,  ] - 2
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ] - 3
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Y,  , R,  ,  ,  ] - 3
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , R,  , Y,  ] - 3
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  , Y,  , R,  ,  ,  ] - 3
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , R,  , Y,  ] - 3
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  , Y,  , R,  , Y,  ] - 3
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  ,  ,  , R,  , Y,  ,  , Y,  , R,  , Y,  ] - 3
[ ,  ,  ,  ,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  , Y,  , R,  ,  ,  ,  , Y,  , R,  , Y,  ] - 3
[ ,  ,  , R,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , Y,  ,  ,  ,  , Y,  , R,  , Y,  ,  , Y,  , R,  , Y,  ] - 5
[ ,  ,  , R,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  ,  ,  , R,  , Y,  ,  ,  ,  , Y,  , R,  ,  , Y,  , R,  , Y,  ,  , Y,  , R,  , Y,  ] - 5
[ ,  ,  , R,  ,  ,  ,  ,  ,  , R,  ,  ,  ,  , Y,  , R,  ,  ,  ,  , R,  , Y,  ,  ,  ,  , Y,  , R,  , Y,  ,  , Y,  , R,  , Y,  ] - 1
[ ,  ,  , R,  , Y,  ,  ,  ,  , R,  , R,  ,  ,  ,  , R,  , Y,  ,  ,  ,  , Y,  , R,  ,  , Y,  , R,  , Y,  ,  , Y,  , R,  , Y,  ] - 1
[ , Y,  , R,  ,  ,  ,  , R,  , R,  ,  ,  ,  , Y,  , R,  ,  ,  ,  , R,  , Y,  ,  ,  ,  , Y,  , R,  , Y,  ,  , Y,  , R,  , Y,  ] - 5
[ ,  ,  , R,  , Y,  ,  ,  ,  , R,  , R,  ,  ,  ,  , R,  , Y,  ,  , R,  , Y,  , R,  ,  , Y,  , R,  , Y,  , Y, Y,  , R,  , Y,  ] - 1
[ , Y,  , R,  ,  ,  ,  , R,  , R,  ,  ,  ,  , Y,  , R,  ,  ,  ,  , R,  , Y,  , R,  ,  , Y,  , R,  , Y,  ,  , Y,  , R,  , Y, Y] - 5
